Line,bus0,bus1,x,r,s_nom,s_nom_extendable,length,carrier,capital_cost
0,0,100,0.001,0.001,3490.082377,TRUE,20.08429165,AC,100
1,0,178,0.001,0.001,990.7330619,TRUE,44.5493901,AC,100
10,100,26,0.001,0.001,3422.532396,TRUE,78.52715484,AC,100
100,13,41,0.001,0.001,495.366531,TRUE,60.55107455,AC,100
101,130,165,0.001,0.001,990.7330619,TRUE,39.18423872,AC,100
102,131,166,0.001,0.001,1283.449648,TRUE,13.64480686,AC,100
103,132,5,0.001,0.001,3917.898927,TRUE,33.8170872,AC,100
104,133,137,0.001,0.001,1283.449648,TRUE,58.17100285,AC,100
105,133,184,0.001,0.001,1283.449648,TRUE,176.2165512,AC,100
106,133,27,0.001,0.001,2994.715846,TRUE,39.51836963,AC,100
107,134,169,0.001,0.001,1282.788565,TRUE,63.86704891,AC,100
108,134,31,0.001,0.001,1711.266198,TRUE,79.56015806,AC,100
109,134,34,0.001,0.001,2566.899297,TRUE,68.8112689,AC,100
11,100,40,0.001,0.001,1711.266198,TRUE,64.20451326,AC,100
110,134,61,0.001,0.001,1711.266198,TRUE,92.35371545,AC,100
111,134,83,0.001,0.001,3422.532396,TRUE,67.9449725,AC,100
112,135,139,0.001,0.001,495.366531,TRUE,25.54540377,AC,100
113,135,3,0.001,0.001,5899.365051,TRUE,15.06447499,AC,100
114,135,42,0.001,0.001,1981.466124,TRUE,31.07404425,AC,100
115,135,93,0.001,0.001,2701.99926,TRUE,14.05741041,AC,100
116,136,174,0.001,0.001,1711.266198,TRUE,43.97817164,AC,100
117,136,57,0.001,0.001,247.6832655,TRUE,36.38922859,AC,100
118,137,5,0.001,0.001,1283.449648,TRUE,83.86373334,AC,100
119,138,164,0.001,0.001,3422.532396,TRUE,37.62350554,AC,100
12,100,51,0.001,0.001,1283.449648,TRUE,95.24674282,AC,100
120,138,181,0.001,0.001,3422.532396,TRUE,36.50669869,AC,100
121,138,30,0.001,0.001,3422.532396,TRUE,32.38419126,AC,100
122,138,40,0.001,0.001,3422.532396,TRUE,71.44042551,AC,100
123,139,156,0.001,0.001,2454.315994,TRUE,22.4422756,AC,100
124,139,29,0.001,0.001,990.7330619,TRUE,23.74216193,AC,100
125,139,3,0.001,0.001,2701.99926,TRUE,33.72427642,AC,100
126,139,82,0.001,0.001,990.733062,TRUE,16.09942846,AC,100
127,14,45,0.001,0.001,1711.266198,TRUE,41.53145638,AC,100
128,140,157,0.001,0.001,990.733062,TRUE,23.38394426,AC,100
129,140,93,0.001,0.001,247.6832655,TRUE,57.89468065,AC,100
13,101,123,0.001,0.001,2566.899296,TRUE,65.39142719,AC,100
130,143,54,0.001,0.001,1711.266198,TRUE,49.36243664,AC,100
131,144,16,0.001,0.001,3422.532396,TRUE,36.64664005,AC,100
132,145,51,0.001,0.001,1711.266198,TRUE,47.59421911,AC,100
133,145,62,0.001,0.001,1711.266198,TRUE,36.47366689,AC,100
134,146,35,0.001,0.001,1711.266198,TRUE,60.0266552,AC,100
135,146,70,0.001,0.001,1280.164975,TRUE,46.26743678,AC,100
136,146,78,0.001,0.001,743.0497965,TRUE,19.79319183,AC,100
137,146,8,0.001,0.001,2701.99926,TRUE,18.60876836,AC,100
138,147,187,0.001,0.001,1486.099593,TRUE,25.05434884,AC,100
139,147,7,0.001,0.001,1486.099593,TRUE,39.69728052,AC,100
14,101,134,0.001,0.001,3422.532396,TRUE,65.42261168,AC,100
140,148,150,0.001,0.001,990.7330619,TRUE,57.9003999,AC,100
141,148,38,0.001,0.001,495.366531,TRUE,54.77803016,AC,100
142,148,73,0.001,0.001,247.6832655,TRUE,36.74527966,AC,100
143,149,177,0.001,0.001,495.366531,TRUE,56.19339966,AC,100
144,149,47,0.001,0.001,2206.632729,TRUE,36.82759078,AC,100
145,149,85,0.001,0.001,3422.532396,TRUE,28.89280995,AC,100
146,15,58,0.001,0.001,3197.365791,TRUE,19.10252793,AC,100
147,15,86,0.001,0.001,495.366531,TRUE,41.44761756,AC,100
148,150,17,0.001,0.001,3422.532396,TRUE,102.563484,AC,100
149,150,192,0.001,0.001,2701.99926,TRUE,38.03438307,AC,100
15,101,142,0.001,0.001,990.733062,TRUE,30.51314398,AC,100
150,150,195,0.001,0.001,3422.532396,TRUE,107.7038557,AC,100
151,150,38,0.001,0.001,2724.515921,TRUE,24.78915064,AC,100
152,150,54,0.001,0.001,2206.632729,TRUE,38.29951831,AC,100
153,150,73,0.001,0.001,247.6832655,TRUE,49.589782,AC,100
154,151,161,0.001,0.001,1283.449648,TRUE,40.37349824,AC,100
155,151,51,0.001,0.001,855.6330989,TRUE,91.53662916,AC,100
156,151,97,0.001,0.001,1711.266198,TRUE,54.62681333,AC,100
157,152,181,0.001,0.001,3422.532396,TRUE,45.79750039,AC,100
158,153,27,0.001,0.001,1711.266198,TRUE,42.76501017,AC,100
159,153,74,0.001,0.001,2566.899297,TRUE,25.55054392,AC,100
16,101,2,0.001,0.001,1283.449648,TRUE,27.66794759,AC,100
160,154,39,0.001,0.001,855.6330989,TRUE,28.86806721,AC,100
161,154,6,0.001,0.001,855.6330989,TRUE,58.75045974,AC,100
162,155,25,0.001,0.001,495.366531,TRUE,34.20092643,AC,100
163,155,91,0.001,0.001,495.366531,TRUE,30.28834008,AC,100
164,156,29,0.001,0.001,990.733062,TRUE,15.68178717,AC,100
165,156,77,0.001,0.001,5899.365051,TRUE,11.11167137,AC,100
166,156,82,0.001,0.001,247.6832655,TRUE,30.72318906,AC,100
167,157,49,0.001,0.001,2206.632729,TRUE,17.98311974,AC,100
168,157,75,0.001,0.001,2206.632729,TRUE,32.82625064,AC,100
169,157,93,0.001,0.001,247.6832655,TRUE,50.1691542,AC,100
17,101,22,0.001,0.001,1283.449648,TRUE,69.11734922,AC,100
170,157,98,0.001,0.001,3917.898927,TRUE,16.28073621,AC,100
171,158,191,0.001,0.001,990.733062,TRUE,53.54458314,AC,100
172,158,195,0.001,0.001,1711.266198,TRUE,38.21854588,AC,100
173,158,42,0.001,0.001,4188.098853,TRUE,20.48097186,AC,100
174,159,77,0.001,0.001,990.733062,TRUE,30.00053343,AC,100
175,160,164,0.001,0.001,1281.47627,TRUE,74.47540307,AC,100
176,160,30,0.001,0.001,990.733062,TRUE,39.40874415,AC,100
177,160,70,0.001,0.001,1776.186648,TRUE,38.93090998,AC,100
178,161,17,0.001,0.001,3422.532396,TRUE,24.42254465,AC,100
179,161,80,0.001,0.001,495.366531,TRUE,24.11645387,AC,100
18,101,34,0.001,0.001,495.366531,TRUE,50.89197445,AC,100
180,161,97,0.001,0.001,495.366531,TRUE,77.30129255,AC,100
181,162,50,0.001,0.001,855.6330989,TRUE,88.06072289,AC,100
182,163,180,0.001,0.001,2278.143975,TRUE,55.68907327,AC,100
183,164,26,0.001,0.001,3422.532396,TRUE,43.19866064,AC,100
184,165,28,0.001,0.001,3422.532396,TRUE,16.02692951,AC,100
185,165,46,0.001,0.001,495.366531,TRUE,27.28887321,AC,100
186,165,87,0.001,0.001,855.6330989,TRUE,65.74226809,AC,100
187,166,17,0.001,0.001,1711.266198,TRUE,24.83751815,AC,100
188,166,56,0.001,0.001,1283.449648,TRUE,52.90655262,AC,100
189,167,6,0.001,0.001,1958.949463,TRUE,15.77202547,AC,100
19,101,45,0.001,0.001,855.6330989,TRUE,96.71264982,AC,100
190,167,91,0.001,0.001,247.6832655,TRUE,32.97766569,AC,100
191,168,192,0.001,0.001,495.366531,TRUE,47.11482231,AC,100
192,169,22,0.001,0.001,855.6330989,TRUE,30.14174981,AC,100
193,169,31,0.001,0.001,1711.266198,TRUE,43.23930797,AC,100
194,169,76,0.001,0.001,2566.899296,TRUE,56.87852917,AC,100
195,17,170,0.001,0.001,1283.449648,TRUE,60.97122773,AC,100
196,17,177,0.001,0.001,1711.266198,TRUE,97.87370725,AC,100
197,17,193,0.001,0.001,855.6330989,TRUE,42.83251191,AC,100
198,17,38,0.001,0.001,495.366531,TRUE,80.67332975,AC,100
199,17,99,0.001,0.001,1350.99963,TRUE,94.11377407,AC,100
2,0,192,0.001,0.001,1711.266198,TRUE,20.52962449,AC,100
20,101,55,0.001,0.001,1598.682895,TRUE,59.09457934,AC,100
200,170,187,0.001,0.001,3557.632358,TRUE,27.46743943,AC,100
201,171,180,0.001,0.001,1350.99963,TRUE,30.01778086,AC,100
202,171,6,0.001,0.001,855.6330989,TRUE,31.68177639,AC,100
203,172,25,0.001,0.001,990.733062,TRUE,34.20269937,AC,100
204,173,44,0.001,0.001,495.366531,TRUE,24.40795792,AC,100
205,174,186,0.001,0.001,1711.266198,TRUE,57.90573686,AC,100
206,174,75,0.001,0.001,5133.798594,TRUE,17.04948519,AC,100
207,174,81,0.001,0.001,1711.266198,TRUE,52.97242381,AC,100
208,175,27,0.001,0.001,4052.998889,TRUE,34.75123004,AC,100
209,175,83,0.001,0.001,2566.899296,TRUE,155.0098449,AC,100
21,102,179,0.001,0.001,3422.532396,TRUE,52.27618435,AC,100
210,176,20,0.001,0.001,990.733062,TRUE,35.44148308,AC,100
211,176,65,0.001,0.001,990.733062,TRUE,21.87729964,AC,100
212,177,36,0.001,0.001,1283.466003,TRUE,68.74638047,AC,100
213,177,56,0.001,0.001,2206.632729,TRUE,21.5429558,AC,100
214,177,9,0.001,0.001,3422.532396,TRUE,33.54543182,AC,100
215,178,84,0.001,0.001,495.366531,TRUE,101.3142178,AC,100
216,179,44,0.001,0.001,1981.466124,TRUE,22.04570463,AC,100
217,179,79,0.001,0.001,990.7330619,TRUE,32.31543454,AC,100
218,18,90,0.001,0.001,990.733062,TRUE,57.2572933,AC,100
219,180,43,0.001,0.001,1711.266198,TRUE,60.18205771,AC,100
22,102,68,0.001,0.001,3422.532396,TRUE,54.10194556,AC,100
220,180,53,0.001,0.001,2278.810299,TRUE,28.06725241,AC,100
221,180,6,0.001,0.001,495.366531,TRUE,38.13346395,AC,100
222,181,81,0.001,0.001,3422.532396,TRUE,27.22482267,AC,100
223,182,57,0.001,0.001,495.366531,TRUE,34.20372876,AC,100
224,183,35,0.001,0.001,855.6330989,TRUE,27.0370682,AC,100
225,185,88,0.001,0.001,1711.266198,TRUE,38.87228271,AC,100
226,186,81,0.001,0.001,1711.266198,TRUE,39.96107187,AC,100
227,187,21,0.001,0.001,1486.099593,TRUE,15.88230535,AC,100
228,187,33,0.001,0.001,1711.266198,TRUE,161.649126,AC,100
229,187,38,0.001,0.001,990.733062,TRUE,52.84517164,AC,100
23,103,13,0.001,0.001,495.366531,TRUE,36.15021325,AC,100
230,187,69,0.001,0.001,3422.532396,TRUE,113.2600733,AC,100
231,188,55,0.001,0.001,990.7330619,TRUE,27.56051649,AC,100
232,19,198,0.001,0.001,1711.266198,TRUE,31.01304944,AC,100
233,19,43,0.001,0.001,1711.266198,TRUE,65.05359278,AC,100
234,19,57,0.001,0.001,1711.266198,TRUE,65.34840333,AC,100
235,19,59,0.001,0.001,1711.266198,TRUE,40.33586576,AC,100
236,190,23,0.001,0.001,5133.798594,TRUE,23.88609866,AC,100
237,190,39,0.001,0.001,3422.532396,TRUE,29.58616155,AC,100
238,190,63,0.001,0.001,1282.791615,TRUE,44.65730441,AC,100
239,191,40,0.001,0.001,1711.266198,TRUE,44.85341923,AC,100
24,103,15,0.001,0.001,495.366531,TRUE,88.21685496,AC,100
240,191,42,0.001,0.001,3422.532396,TRUE,64.22254061,AC,100
241,191,49,0.001,0.001,1711.266198,TRUE,87.81528107,AC,100
242,191,52,0.001,0.001,990.733062,TRUE,16.04881551,AC,100
243,191,93,0.001,0.001,1711.266198,TRUE,69.75474324,AC,100
244,192,54,0.001,0.001,855.6330989,TRUE,23.30789115,AC,100
245,193,67,0.001,0.001,855.6330989,TRUE,31.10285688,AC,100
246,194,5,0.001,0.001,1711.266198,TRUE,58.69976027,AC,100
247,194,63,0.001,0.001,1711.266198,TRUE,78.18460679,AC,100
248,195,24,0.001,0.001,1711.266198,TRUE,11.01768926,AC,100
249,195,42,0.001,0.001,1711.266198,TRUE,58.64577816,AC,100
25,104,127,0.001,0.001,990.733062,TRUE,42.53803581,AC,100
250,195,79,0.001,0.001,495.366531,TRUE,61.81496469,AC,100
251,196,20,0.001,0.001,495.366531,TRUE,25.07040827,AC,100
252,196,95,0.001,0.001,495.366531,TRUE,63.31332313,AC,100
253,197,47,0.001,0.001,495.366531,TRUE,35.90090958,AC,100
254,199,25,0.001,0.001,3422.532396,TRUE,19.62923601,AC,100
255,2,22,0.001,0.001,1283.449648,TRUE,41.56058627,AC,100
256,20,95,0.001,0.001,495.366531,TRUE,45.5407087,AC,100
257,23,39,0.001,0.001,990.733062,TRUE,33.23786745,AC,100
258,23,63,0.001,0.001,1711.266198,TRUE,61.01174144,AC,100
259,23,71,0.001,0.001,3917.898927,TRUE,47.41507129,AC,100
26,104,15,0.001,0.001,1283.449648,TRUE,179.4055251,AC,100
260,23,96,0.001,0.001,990.7330619,TRUE,67.80679346,AC,100
261,25,35,0.001,0.001,5133.798594,TRUE,60.37255491,AC,100
262,25,57,0.001,0.001,1711.266198,TRUE,64.43100435,AC,100
263,25,78,0.001,0.001,495.366531,TRUE,55.91954882,AC,100
264,25,91,0.001,0.001,2206.632729,TRUE,64.18812418,AC,100
265,26,51,0.001,0.001,1282.133435,TRUE,66.06955586,AC,100
266,27,5,0.001,0.001,990.733062,TRUE,181.3121552,AC,100
267,27,58,0.001,0.001,2566.899297,TRUE,117.0608793,AC,100
268,27,86,0.001,0.001,1283.449648,TRUE,97.82833709,AC,100
269,29,49,0.001,0.001,1711.266198,TRUE,18.50919298,AC,100
27,104,184,0.001,0.001,1283.449648,TRUE,43.63546239,AC,100
270,29,77,0.001,0.001,2206.632729,TRUE,24.13652356,AC,100
271,3,42,0.001,0.001,3422.532396,TRUE,30.38530246,AC,100
272,3,68,0.001,0.001,1711.266198,TRUE,19.55359927,AC,100
273,3,93,0.001,0.001,5629.165125,TRUE,26.59529915,AC,100
274,31,61,0.001,0.001,1711.266198,TRUE,44.63710957,AC,100
275,33,69,0.001,0.001,3422.532396,TRUE,58.23017696,AC,100
276,33,89,0.001,0.001,2566.899297,TRUE,64.56755791,AC,100
277,33,90,0.001,0.001,1846.366161,TRUE,22.21562275,AC,100
278,34,55,0.001,0.001,495.366531,TRUE,54.96700356,AC,100
279,34,66,0.001,0.001,743.0497965,TRUE,119.6125865,AC,100
28,104,5,0.001,0.001,1283.449648,TRUE,104.3436907,AC,100
280,35,78,0.001,0.001,1711.266198,TRUE,49.3569817,AC,100
281,36,92,0.001,0.001,3422.532396,TRUE,62.16407836,AC,100
282,37,84,0.001,0.001,990.733062,TRUE,32.26374706,AC,100
283,37,87,0.001,0.001,495.366531,TRUE,71.14379621,AC,100
284,39,6,0.001,0.001,855.6330989,TRUE,81.73145366,AC,100
285,39,71,0.001,0.001,855.6330989,TRUE,34.35287217,AC,100
286,39,91,0.001,0.001,1711.266198,TRUE,56.49774295,AC,100
287,4,72,0.001,0.001,990.733062,TRUE,39.11731446,AC,100
288,41,5,0.001,0.001,495.366531,TRUE,79.65565881,AC,100
289,42,68,0.001,0.001,3422.532396,TRUE,34.26409087,AC,100
29,105,183,0.001,0.001,855.6330989,TRUE,21.85390145,AC,100
290,42,93,0.001,0.001,495.366531,TRUE,26.60847647,AC,100
291,43,77,0.001,0.001,1284.783324,TRUE,166.1367405,AC,100
292,45,55,0.001,0.001,855.6330989,TRUE,40.60398131,AC,100
293,45,62,0.001,0.001,2566.899296,TRUE,52.18120034,AC,100
294,46,87,0.001,0.001,495.366531,TRUE,39.15655025,AC,100
295,48,75,0.001,0.001,1711.266198,TRUE,25.00241413,AC,100
296,49,93,0.001,0.001,3422.532396,TRUE,39.99449414,AC,100
297,49,98,0.001,0.001,2724.51592,TRUE,19.63372996,AC,100
298,5,60,0.001,0.001,1711.266198,TRUE,41.8585494,AC,100
299,51,64,0.001,0.001,855.6330989,TRUE,69.07378405,AC,100
3,0,51,0.001,0.001,855.6330989,TRUE,80.1800446,AC,100
30,105,30,0.001,0.001,4413.265458,TRUE,40.18432315,AC,100
300,51,84,0.001,0.001,495.366531,TRUE,79.99978423,AC,100
301,56,9,0.001,0.001,1711.266198,TRUE,41.54173062,AC,100
302,57,59,0.001,0.001,4188.098853,TRUE,29.36436104,AC,100
303,58,83,0.001,0.001,247.6832655,TRUE,82.57446261,AC,100
304,58,86,0.001,0.001,2521.865975,TRUE,23.07989899,AC,100
305,59,75,0.001,0.001,1282.790601,TRUE,67.84089679,AC,100
306,60,63,0.001,0.001,1711.266198,TRUE,95.6651541,AC,100
307,61,83,0.001,0.001,1711.266198,TRUE,37.21722741,AC,100
308,62,84,0.001,0.001,3422.532396,TRUE,83.42764351,AC,100
309,63,8,0.001,0.001,3422.532396,TRUE,109.8177702,AC,100
31,106,23,0.001,0.001,495.366531,TRUE,49.95643809,AC,100
310,64,80,0.001,0.001,855.6330989,TRUE,39.97293047,AC,100
311,67,89,0.001,0.001,2994.715846,TRUE,41.7905276,AC,100
312,68,88,0.001,0.001,5133.798594,TRUE,16.06808268,AC,100
313,69,7,0.001,0.001,1981.466124,TRUE,49.43808938,AC,100
314,69,90,0.001,0.001,990.7330619,TRUE,66.28973976,AC,100
315,70,78,0.001,0.001,495.366531,TRUE,47.69781339,AC,100
316,71,96,0.001,0.001,1711.266198,TRUE,51.06172687,AC,100
317,74,8,0.001,0.001,2566.899297,TRUE,29.5477608,AC,100
318,75,98,0.001,0.001,1958.949464,TRUE,30.56861103,AC,100
319,78,8,0.001,0.001,3197.365791,TRUE,38.22243657,AC,100
32,106,63,0.001,0.001,1283.45081,TRUE,80.71587075,AC,100
320,83,86,0.001,0.001,1283.449648,TRUE,100.6274882,AC,100
321,83,94,0.001,0.001,1283.449648,TRUE,51.45176937,AC,100
322,84,87,0.001,0.001,3422.532396,TRUE,89.71768192,AC,100
323,9,97,0.001,0.001,855.6330989,TRUE,38.29303698,AC,100
324,90,99,0.001,0.001,1350.99963,TRUE,101.784876,AC,100
325,92,99,0.001,0.001,247.6832655,TRUE,106.4840117,AC,100
33,107,32,0.001,0.001,495.366531,TRUE,31.02421595,AC,100
34,107,71,0.001,0.001,1284.125172,TRUE,95.5067835,AC,100
35,107,96,0.001,0.001,2206.632729,TRUE,58.4077932,AC,100
36,108,128,0.001,0.001,1283.449648,TRUE,51.56755702,AC,100
37,108,164,0.001,0.001,1283.449648,TRUE,45.79516563,AC,100
38,109,177,0.001,0.001,2701.99926,TRUE,62.46934223,AC,100
39,109,47,0.001,0.001,1711.266198,TRUE,31.14482942,AC,100
4,1,136,0.001,0.001,1711.266198,TRUE,22.07383534,AC,100
40,109,72,0.001,0.001,2701.99926,TRUE,67.59319962,AC,100
41,11,75,0.001,0.001,2949.682526,TRUE,19.9067799,AC,100
42,11,98,0.001,0.001,1958.949464,TRUE,10.92764179,AC,100
43,110,125,0.001,0.001,1711.266198,TRUE,67.61076932,AC,100
44,110,19,0.001,0.001,1711.266198,TRUE,39.5215007,AC,100
45,111,165,0.001,0.001,2701.99926,TRUE,35.65787038,AC,100
46,111,4,0.001,0.001,990.733062,TRUE,78.9174558,AC,100
47,111,85,0.001,0.001,3422.532396,TRUE,48.22586486,AC,100
48,112,33,0.001,0.001,855.6330989,TRUE,36.74347406,AC,100
49,113,165,0.001,0.001,5133.798594,TRUE,52.358544,AC,100
5,1,141,0.001,0.001,1733.782859,TRUE,30.96789141,AC,100
50,113,20,0.001,0.001,495.366531,TRUE,68.89528822,AC,100
51,113,87,0.001,0.001,495.366531,TRUE,52.81507051,AC,100
52,113,95,0.001,0.001,3422.532396,TRUE,62.55899084,AC,100
53,114,122,0.001,0.001,2206.632729,TRUE,51.09271556,AC,100
54,114,16,0.001,0.001,247.6832655,TRUE,50.98929213,AC,100
55,114,173,0.001,0.001,990.733062,TRUE,43.43995022,AC,100
56,114,179,0.001,0.001,2701.99926,TRUE,24.21643982,AC,100
57,115,86,0.001,0.001,990.733062,TRUE,34.65975628,AC,100
58,116,19,0.001,0.001,1958.949464,TRUE,54.99454604,AC,100
59,116,59,0.001,0.001,247.6832655,TRUE,36.79875805,AC,100
6,1,152,0.001,0.001,3917.898927,TRUE,33.34550065,AC,100
60,116,75,0.001,0.001,2206.632729,TRUE,38.6858075,AC,100
61,117,119,0.001,0.001,1711.266198,TRUE,45.12945622,AC,100
62,117,83,0.001,0.001,1283.449648,TRUE,113.7442967,AC,100
63,118,180,0.001,0.001,495.366531,TRUE,52.76069582,AC,100
64,119,126,0.001,0.001,1711.266198,TRUE,32.83850473,AC,100
65,119,128,0.001,0.001,3422.532396,TRUE,70.24636456,AC,100
66,119,27,0.001,0.001,1283.449648,TRUE,92.63469308,AC,100
67,119,94,0.001,0.001,1283.449648,TRUE,99.05130061,AC,100
68,12,124,0.001,0.001,247.6832655,TRUE,100.4671087,AC,100
69,12,162,0.001,0.001,855.6330989,TRUE,37.18085901,AC,100
7,1,199,0.001,0.001,3422.532396,TRUE,46.47935943,AC,100
70,12,189,0.001,0.001,495.366531,TRUE,32.04231498,AC,100
71,12,37,0.001,0.001,495.366531,TRUE,55.74825375,AC,100
72,12,95,0.001,0.001,855.6330989,TRUE,102.3269752,AC,100
73,120,170,0.001,0.001,855.6330989,TRUE,15.98940657,AC,100
74,120,187,0.001,0.001,495.366531,TRUE,42.79764631,AC,100
75,120,80,0.001,0.001,1350.99963,TRUE,31.32923474,AC,100
76,121,128,0.001,0.001,1711.266198,TRUE,51.72702163,AC,100
77,121,45,0.001,0.001,2566.899296,TRUE,41.81500342,AC,100
78,122,150,0.001,0.001,1711.266198,TRUE,106.2130742,AC,100
79,122,16,0.001,0.001,3422.532396,TRUE,24.54750023,AC,100
8,10,96,0.001,0.001,495.366531,TRUE,26.50898799,AC,100
80,122,179,0.001,0.001,1711.266198,TRUE,74.85248567,AC,100
81,122,187,0.001,0.001,855.6330989,TRUE,98.19452403,AC,100
82,123,162,0.001,0.001,1283.449648,TRUE,117.5902394,AC,100
83,124,162,0.001,0.001,855.6330989,TRUE,65.19128568,AC,100
84,124,62,0.001,0.001,1350.99963,TRUE,44.00439598,AC,100
85,125,19,0.001,0.001,1711.266198,TRUE,96.14836459,AC,100
86,125,29,0.001,0.001,2701.99926,TRUE,18.41698234,AC,100
87,125,49,0.001,0.001,2454.315995,TRUE,23.67564036,AC,100
88,125,77,0.001,0.001,2206.632729,TRUE,28.5664132,AC,100
89,125,98,0.001,0.001,2701.99926,TRUE,18.70246198,AC,100
9,100,192,0.001,0.001,1711.266198,TRUE,18.38800979,AC,100
90,126,27,0.001,0.001,1283.449648,TRUE,71.04002792,AC,100
91,127,132,0.001,0.001,495.366531,TRUE,60.8922686,AC,100
92,127,5,0.001,0.001,495.366531,TRUE,78.29847075,AC,100
93,128,14,0.001,0.001,1711.266198,TRUE,24.5085879,AC,100
94,128,164,0.001,0.001,1283.449648,TRUE,96.85478732,AC,100
95,128,34,0.001,0.001,2566.899296,TRUE,93.62114346,AC,100
96,128,45,0.001,0.001,1711.266198,TRUE,58.98587783,AC,100
97,128,66,0.001,0.001,990.733062,TRUE,56.02269954,AC,100
98,129,43,0.001,0.001,1711.266198,TRUE,22.78210126,AC,100
99,13,15,0.001,0.001,495.366531,TRUE,99.33286699,AC,100
